,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,68,157,23,1148,0.3022222222222222,0.7472527472527473,0.25274725274725274,0.6977777777777778
1,Wireless Connectivity,241,136,105,156,999,0.5643153526970954,0.4657534246575342,0.5342465753424658,0.43568464730290457
2,Windows Compatibility,132,100,32,40,1224,0.7575757575757576,0.7142857142857143,0.2857142857142857,0.24242424242424243
3,Selling Price,84,33,51,15,1297,0.39285714285714285,0.6875,0.3125,0.6071428571428571
4,Paper Feed,81,47,34,17,1298,0.5802469135802469,0.734375,0.265625,0.41975308641975306
5,Overall Print Quality,121,27,94,5,1270,0.2231404958677686,0.84375,0.15625,0.7768595041322314
6,Non-specific/Unknown,109,60,49,4,1283,0.5504587155963303,0.9375,0.0625,0.44954128440366975
7,iOS Compatibility,105,81,24,28,1263,0.7714285714285715,0.7431192660550459,0.25688073394495414,0.22857142857142856
8,Ink Consumption,123,87,36,27,1246,0.7073170731707317,0.7631578947368421,0.23684210526315788,0.2926829268292683
9,Competitor Product Comparison,87,2,85,0,1309,0.022988505747126436,1.0,0.0,0.9770114942528736
10,Audible Noise,90,19,71,65,1241,0.2111111111111111,0.2261904761904762,0.7738095238095238,0.7888888888888889
11,Overall Customer Service,76,54,22,2,1318,0.7105263157894737,0.9642857142857143,0.03571428571428571,0.2894736842105263
12,Cloud Connectivity,44,13,31,6,1346,0.29545454545454547,0.6842105263157895,0.3157894736842105,0.7045454545454546
13,Paper Jam,31,0,31,0,1365,NA,NA,NA,NA
14,Color Print Quality,46,0,46,0,1350,NA,NA,NA,NA
15,Monochrome Print Quality,32,4,28,1,1363,0.125,0.8,0.2,0.875
16,Build Quality,78,0,78,0,1318,NA,NA,NA,NA
17,Print Speed,49,0,49,0,1347,NA,NA,NA,NA
18,CD/DVD Printing,8,0,8,0,1388,NA,NA,NA,NA
19,Initialization Speed,70,20,50,46,1280,0.2857142857142857,0.30303030303030304,0.696969696969697,0.7142857142857143
20,Driver Performance,46,1,45,0,1350,0.021739130434782608,1.0,0.0,0.9782608695652174
